处理时间,账号,文件名,文件类型,源文件路径,目标文件夹,文件大小,处理状态,触发方式,备注
2025-10-22 12:31:46,Broke n Happy account,global_profit.xlsx,,C:\Users\vuser\Documents\Monthly Report\Monthly Channel Profit\Temu Ventchoice\Broke n Happy account\global_profit.xlsx,,435561,跳过,定期扫描,未匹配到文件类型规则
2025-10-22 12:31:46,Broke n Happy account,temu_bnh_global -V2.xlsx,,C:\Users\vuser\Documents\Monthly Report\Monthly Channel Profit\Temu Ventchoice\Broke n Happy account\temu_bnh_global -V2.xlsx,,6406632,跳过,定期扫描,未匹配到文件类型规则
2025-10-22 12:31:46,Broke n Happy account,temu_bnh_global.xlsx,,C:\Users\vuser\Documents\Monthly Report\Monthly Channel Profit\Temu Ventchoice\Broke n Happy account\temu_bnh_global.xlsx,,6400872,跳过,定期扫描,未匹配到文件类型规则
2025-10-22 12:31:46,Broke n Happy account,temu_bnh_profit V2.xlsx,,C:\Users\vuser\Documents\Monthly Report\Monthly Channel Profit\Temu Ventchoice\Broke n Happy account\temu_bnh_profit V2.xlsx,,48619412,跳过,定期扫描,未匹配到文件类型规则
2025-10-22 12:31:46,Broke n Happy account,temu_bnh_us-V2.xlsx,,C:\Users\vuser\Documents\Monthly Report\Monthly Channel Profit\Temu Ventchoice\Broke n Happy account\temu_bnh_us-V2.xlsx,,5150658,跳过,定期扫描,未匹配到文件类型规则
2025-10-22 12:31:46,Broke n Happy account,temu_bnh_us.xlsx,,C:\Users\vuser\Documents\Monthly Report\Monthly Channel Profit\Temu Ventchoice\Broke n Happy account\temu_bnh_us.xlsx,,5150658,跳过,定期扫描,未匹配到文件类型规则
2025-10-22 12:31:46,Broke n Happy account,us_profit.xlsx,,C:\Users\vuser\Documents\Monthly Report\Monthly Channel Profit\Temu Ventchoice\Broke n Happy account\us_profit.xlsx,,784578,跳过,定期扫描,未匹配到文件类型规则
2025-10-22 12:31:46,Broke n Happy account,.WeDrive,,C:\Users\vuser\Documents\Monthly Report\Monthly Channel Profit\Temu Ventchoice\Broke n Happy account\2024\.WeDrive,,56,跳过,定期扫描,未匹配到文件类型规则
2025-10-22 12:31:46,Broke n Happy account,.WeDrive,,C:\Users\vuser\Documents\Monthly Report\Monthly Channel Profit\Temu Ventchoice\Broke n Happy account\2024\202408\.WeDrive,,63,跳过,定期扫描,未匹配到文件类型规则
2025-10-22 12:31:46,Broke n Happy account,TEMU(Broke n Happy)BillDetails-202408.xlsx,,C:\Users\vuser\Documents\Monthly Report\Monthly Channel Profit\Temu Ventchoice\Broke n Happy account\2024\202408\TEMU(Broke n Happy)BillDetails-202408.xlsx,,4722,跳过,定期扫描,未匹配到文件类型规则
2025-10-22 12:31:46,Broke n Happy account,TEMU(Broke n Happy)财务结算明细202408.xlsx,,C:\Users\vuser\Documents\Monthly Report\Monthly Channel Profit\Temu Ventchoice\Broke n Happy account\2024\202408\TEMU(Broke n Happy)财务结算明细202408.xlsx,,12251,跳过,定期扫描,未匹配到文件类型规则
2025-10-22 12:31:46,Broke n Happy account,.WeDrive,,C:\Users\vuser\Documents\Monthly Report\Monthly Channel Profit\Temu Ventchoice\Broke n Happy account\2024\202409\.WeDrive,,63,跳过,定期扫描,未匹配到文件类型规则
2025-10-22 12:31:46,Broke n Happy account,TEMU(Broke n Happy)BillDetails-202409.xlsx,,C:\Users\vuser\Documents\Monthly Report\Monthly Channel Profit\Temu Ventchoice\Broke n Happy account\2024\202409\TEMU(Broke n Happy)BillDetails-202409.xlsx,,78779,跳过,定期扫描,未匹配到文件类型规则
2025-10-22 12:31:46,Broke n Happy account,TEMU(Broke n Happy)财务结算明细202409.xlsx,,C:\Users\vuser\Documents\Monthly Report\Monthly Channel Profit\Temu Ventchoice\Broke n Happy account\2024\202409\TEMU(Broke n Happy)财务结算明细202409.xlsx,,61494,跳过,定期扫描,未匹配到文件类型规则
